Name,Price,Rating,Image
"INNOCN 49"" Curved Gaming Monitor 144Hz Ultrawide 32:9 WDFHD 3840 x 1080P, R1800, 99% sRGB, HDR400, USB Type C, DisplayPort, HDMI, Built-in Speakers, Height/Tilt Adjustable - 49C1G",,4.3,https://m.media-amazon.com/images/I/61Jf+2Fo+LL._AC_UY218_.jpg
"USB C Docking Station Dual Monitor for Laptop, LIONWEI 14-in-1 USB-C Hub with Triple Display, 2 HDMI + VGA, Ethernet, 6 USB A/C 3.0/2.0, PD, SD/TF, Audio, USB C Dock for Surface/HP/Dell/Lenovo/MacBook",,4.2,https://m.media-amazon.com/images/I/71AxFvPoHVL._AC_UY218_.jpg
"KOORUI Gaming Monitor, 24"" Fast IPS Computer Monitor, 165Hz FHD Display, 1ms PC Screen, 99% sRGB Color Gamut, Adaptive Sync, Ultra Slim Frame, VESA Mountable (1920x1080P, HDMI, DisplayPort) 24E3",,4.4,https://m.media-amazon.com/images/I/71JdV8N-rXL._AC_UY218_.jpg
"SANSUI Monitor 24 inch 100Hz IPS 1080P Computer Monitor HDMI VGA HDR Tilt Adjustable/VESA Compatible, for Game and Office (ES-24X3AL HDMI Cable Included)",,4.3,https://m.media-amazon.com/images/I/71HZcfwyonL._AC_UY218_.jpg
"acer SB270 G0bi 27"" IPS Full HD (1920 x 1080) Ultra-Thin Zero-Frame Gaming Office Monitor | Adaptive-Sync Support (FreeSync Compatible) | Up to 120Hz Refresh | 1ms (VRB) | Tilt | HDMI & VGA Ports",,4.5,https://m.media-amazon.com/images/I/81+fuMKCX3L._AC_UY218_.jpg
"Acer Nitro 27"" WQHD 2560 x 1440 PC Gaming IPS Monitor | AMD FreeSync Premium Up to 180Hz Refresh 0.5ms DCI-P3 95% 1 Display Port 1.2 & 2 HDMI 2.0 XV271U M3bmiiprx,Black",,4.4,https://m.media-amazon.com/images/I/81WcXnYjaFL._AC_UY218_.jpg
"Portable Monitor 15.6 Inch 1080P USB-C HDMI Ultra-Slim Travel Monitor with Kickstand, for Laptop, PC, Mac Phone, PS, Xbox, Swich IPS Ultra-Thin Zero Frame Gaming Monitor",,4.7,https://m.media-amazon.com/images/I/71FUhUOg+ZL._AC_UY218_.jpg
"SAMSUNG 27"" Essential S3 (S36GD) Series FHD 1800R Curved Computer Monitor, 100Hz, Game Mode, Advanced Eye Comfort, HDMI and D-sub Ports, LS27D366GANXZA, 2024",,4.5,https://m.media-amazon.com/images/I/61Qazt1iWcL._AC_UY218_.jpg
"Acer Nitro KG241Y Sbiip 23.8” Full HD (1920 x 1080) VA Gaming Monitor | AMD FreeSync Premium Technology | 165Hz Refresh Rate | 1ms (VRB) | ZeroFrame Design | 1 x Display Port 1.2 & 2 x HDMI 2.0,Black",,4.5,https://m.media-amazon.com/images/I/71yo3bmyBnL._AC_UY218_.jpg
SANSUI 27 Inch Curved Gaming Monitor 180Hz 1ms with Speakers FHD 1080P Computer Monitor FreeSync|1500R|130% sRGB|HDR|Low Blue Light|HDMI DP Ports|VESA Mount|Metal Stand(ES-G27C1 HDMI Cable Included),,4.4,https://m.media-amazon.com/images/I/714XKWYN+YL._AC_UY218_.jpg
