title,price,rating,image_url
"Laptop Screen Extender, 15.6"" Portable Monitor, FHD 1080P IPS 360° Rotation Screen Triple Monitor Laptops, Removable Multi-Mode Monitor for 13”-17” Laptops Compatible with Mac/Wins/Android/Dex",,4.4,https://m.media-amazon.com/images/I/81CTihSUAyL._AC_UY218_.jpg
"KOORUI 24-inch Computer Monitor Full HD 1920 x 1080p 100Hz VA Display 3000:1 Contrast Ratio with HDMI VGA, Three-Sided Slim Bezels, Freesync, 100 x 100 mm VESA Mountable, Ergonomic Tilt, Black",,4.4,https://m.media-amazon.com/images/I/71DAuKHiu3L._AC_UY218_.jpg
"SAMSUNG 24"" (S30GD) Essential Monitor with IPS Panel and Tilt Only Stand, 100Hz Refresh Rate, Ergonomic Design, Advanced Eye Care, Game Mode, LS24D304GANXZA",,4.4,https://m.media-amazon.com/images/I/61ReaNcCHwL._AC_UY218_.jpg
"LG 34WP60C-B 34-Inch 21:9 Curved UltraWide QHD (3440x1440) Gaming Computer Monitor with 160Hz sRGB 99% Color Gamut and HDR 10, AMD FreeSync Premium and 3-Side Virtually Borderless Screen Tilt,Black",,4.6,https://m.media-amazon.com/images/I/71xUGwGReSL._AC_UY218_.jpg
"SAMSUNG 27"" Essential S3 (S36GD) Series FHD 1800R Curved Computer Monitor, 100Hz, Game Mode, Advanced Eye Comfort, HDMI and D-sub Ports, LS27D366GANXZA, 2024",,4.5,https://m.media-amazon.com/images/I/61Qazt1iWcL._AC_UY218_.jpg
"SANSUI Monitor 24 inch 100Hz IPS 1080P Computer Monitor HDMI VGA HDR Tilt Adjustable/VESA Compatible, for Game and Office (ES-24X3AL HDMI Cable Included)",,4.3,https://m.media-amazon.com/images/I/71HZcfwyonL._AC_UY218_.jpg
"Portable Monitor 15.6 Inch 1080P USB-C HDMI Ultra-Slim Travel Monitor with Kickstand, for Laptop, PC, Mac Phone, PS, Xbox, Swich IPS Ultra-Thin Zero Frame Gaming Monitor",,4.7,https://m.media-amazon.com/images/I/71FUhUOg+ZL._AC_UY218_.jpg
"Acer Nitro KG241Y Sbiip 23.8” Full HD (1920 x 1080) VA Gaming Monitor | AMD FreeSync Premium Technology | 165Hz Refresh Rate | 1ms (VRB) | ZeroFrame Design | 1 x Display Port 1.2 & 2 x HDMI 2.0,Black",,4.5,https://m.media-amazon.com/images/I/71yo3bmyBnL._AC_UY218_.jpg
"SANSUI Monitor 24 Inch 100Hz PC Monitor, HDMI VGA Ports VESA Mount, FHD Computer Monitor Ultra-Slim Ergonomic Tilt Eye Care for Home Office (ES-24F2, HDMI Cable Included)",,4.3,https://m.media-amazon.com/images/I/71bpmLxsMQL._AC_UY218_.jpg
"32 Inch Curved Gaming Monitor 240Hz, 1800R PC Monitor Full HD 1080P, Frameless Computer Dispaly with Freesync and Eye Care Technology, Wall Mountable",,4.3,https://m.media-amazon.com/images/I/71vobR3H11L._AC_UY218_.jpg
"SAMSUNG 34"" ViewFinity S50GC Series Ultra-WQHD Monitor, 100Hz, 5ms, HDR10, AMD FreeSync, Eye Care, Borderless Design, PIP, PBP, LS34C502GANXZA, 2023, Black",,4.3,https://m.media-amazon.com/images/I/71UaaLrlu9L._AC_UY218_.jpg
"Acer Nitro 27"" WQHD 2560 x 1440 PC Gaming IPS Monitor | AMD FreeSync Premium Up to 180Hz Refresh 0.5ms DCI-P3 95% 1 Display Port 1.2 & 2 HDMI 2.0 XV271U M3bmiiprx,Black",,4.4,https://m.media-amazon.com/images/I/81WcXnYjaFL._AC_UY218_.jpg
